Phantom ID,Phantom Power,SART LOS Power (beta=0),SART LOS corr,iter,SART Volume Power (beta=0),SART Volume corr,iter,C-SART LOS Power  (beta=1000),C-SART LOS corr,iter,C-SART Volume Power  (beta=1000),C-SART Volume corr,iter,C-SART LOS Power  (beta=80),C-SART LOS corr,iter,C-SART Volume Power  (beta=80),C-SART Volume corr,iter
85,16.75,18.51,0.759,88,17.35,0.935,150,17.9,0.894,150,17.31,0.952,150,17.24,0.978,136,17.12,0.982,150
86,16.84,18.47,0.758,85,17.42,0.934,150,17.93,0.893,150,17.38,0.951,150,17.34,0.977,127,17.2,0.982,150
87,16.93,18.44,0.756,82,17.49,0.933,150,17.96,0.892,150,17.45,0.951,150,17.42,0.976,121,17.37,0.966,50
88,17.09,18.42,0.754,77,17.61,0.932,150,18.03,0.891,150,17.57,0.95,150,17.55,0.975,117,17.49,0.966,52
89,17.24,18.45,0.753,75,17.72,0.93,150,18.24,0.848,82,17.69,0.949,150,17.81,0.956,48,17.6,0.967,55
90,17.96,18.63,0.743,88,18.24,0.916,150,18.57,0.807,50,18.23,0.936,134,18.18,0.971,137,18.13,0.974,129
91,18.74,18.85,0.72,117,18.8,0.88,121,18.88,0.828,100,18.8,0.899,103,18.77,0.954,150,18.76,0.96,150
92,19.58,19.14,0.704,150,19.4,0.844,109,19.33,0.831,150,19.41,0.859,80,19.41,0.935,150,19.46,0.945,150
93,12.16,12.57,0.705,52,12.34,0.897,150,12.46,0.85,150,12.35,0.895,23,12.24,0.955,150,12.18,0.969,150
94,8.376,8.536,0.711,150,8.37,0.894,150,8.487,0.843,138,8.391,0.92,150,8.432,0.953,136,8.415,0.953,76
