# id, point_a.x, point_a.y, point_b.x, point_b.y, point_c.x, point_c.y, point_d.x, point_d.y
201,1.2922,-1.0355,1.2922,-1.0252,1.3023,-1.0252,1.3023,-1.0355
202,1.3023,-1.0355,1.3023,-1.0252,1.3124,-1.0252,1.3124,-1.0355
203,1.3124,-1.0355,1.3124,-1.0252,1.3225,-1.0252,1.3225,-1.0355
204,1.3225,-1.0355,1.3225,-1.0252,1.3326,-1.0252,1.3326,-1.0355
205,1.3326,-1.0355,1.3326,-1.0252,1.3426,-1.0252,1.3426,-1.0355
206,1.3426,-1.0355,1.3426,-1.0252,1.3527,-1.0252,1.3527,-1.0355
207,1.3527,-1.0355,1.3527,-1.0252,1.3628,-1.0252,1.3628,-1.0355
208,1.3628,-1.0355,1.3628,-1.0252,1.3729,-1.0252,1.3729,-1.0355
209,1.3729,-1.0355,1.3729,-1.0252,1.3829,-1.0252,1.3829,-1.0355
210,1.3829,-1.0355,1.3829,-1.0252,1.393,-1.0252,1.393,-1.0355
211,1.393,-1.0355,1.393,-1.0252,1.4031,-1.0252,1.4031,-1.0355
212,1.4031,-1.0355,1.4031,-1.0252,1.4132,-1.0252,1.4132,-1.0355
213,1.4132,-1.0355,1.4132,-1.0252,1.4233,-1.0252,1.4233,-1.0355
214,1.4233,-1.0355,1.4233,-1.0252,1.4333,-1.0252,1.4333,-1.0355
215,1.4333,-1.0355,1.4333,-1.0252,1.4434,-1.0252,1.4434,-1.0355
216,1.4434,-1.0355,1.4434,-1.0252,1.4535,-1.0252,1.4535,-1.0355
217,1.4535,-1.0355,1.4535,-1.0252,1.4636,-1.0252,1.4636,-1.0355
218,1.4636,-1.0355,1.4636,-1.0252,1.4736,-1.0252,1.4736,-1.0355
219,1.4736,-1.0355,1.4736,-1.0252,1.4837,-1.0252,1.4837,-1.0355
220,1.4837,-1.0355,1.4837,-1.0252,1.4938,-1.0252,1.4938,-1.0355
221,1.4938,-1.0355,1.4938,-1.0252,1.5039,-1.0252,1.5039,-1.0355
222,1.5039,-1.0355,1.5039,-1.0252,1.514,-1.0252,1.514,-1.0355
223,1.514,-1.0355,1.514,-1.0252,1.524,-1.0252,1.524,-1.0355
224,1.524,-1.0355,1.524,-1.0252,1.5341,-1.0252,1.5341,-1.0355
225,1.5341,-1.0355,1.5341,-1.0252,1.5442,-1.0252,1.5442,-1.0355
226,1.5442,-1.0355,1.5442,-1.0252,1.5543,-1.0252,1.5543,-1.0355
227,1.5543,-1.0355,1.5543,-1.0252,1.5643,-1.0252,1.5643,-1.0355
228,1.5643,-1.0355,1.5643,-1.0252,1.5744,-1.0252,1.5744,-1.0355
229,1.5744,-1.0355,1.5744,-1.0252,1.5845,-1.0252,1.5845,-1.0355
230,1.5845,-1.0355,1.5845,-1.0252,1.5946,-1.0252,1.5946,-1.0355
231,1.5946,-1.0355,1.5946,-1.0252,1.6047,-1.0252,1.6047,-1.0355
232,1.6047,-1.0355,1.6047,-1.0252,1.6147,-1.0252,1.6147,-1.0355
233,1.6147,-1.0355,1.6147,-1.0252,1.6248,-1.0252,1.6248,-1.0355
234,1.6248,-1.0355,1.6248,-1.0252,1.6349,-1.0252,1.6349,-1.0355
235,1.262,-1.0252,1.262,-1.015,1.2721,-1.015,1.2721,-1.0252
236,1.2721,-1.0252,1.2721,-1.015,1.2822,-1.015,1.2822,-1.0252
237,1.2822,-1.0252,1.2822,-1.015,1.2922,-1.015,1.2922,-1.0252
238,1.2922,-1.0252,1.2922,-1.015,1.3023,-1.015,1.3023,-1.0252
239,1.3023,-1.0252,1.3023,-1.015,1.3124,-1.015,1.3124,-1.0252
240,1.3124,-1.0252,1.3124,-1.015,1.3225,-1.015,1.3225,-1.0252
241,1.3225,-1.0252,1.3225,-1.015,1.3326,-1.015,1.3326,-1.0252
242,1.3326,-1.0252,1.3326,-1.015,1.3426,-1.015,1.3426,-1.0252
243,1.3426,-1.0252,1.3426,-1.015,1.3527,-1.015,1.3527,-1.0252
244,1.3527,-1.0252,1.3527,-1.015,1.3628,-1.015,1.3628,-1.0252
245,1.3628,-1.0252,1.3628,-1.015,1.3729,-1.015,1.3729,-1.0252
246,1.3729,-1.0252,1.3729,-1.015,1.3829,-1.015,1.3829,-1.0252
247,1.3829,-1.0252,1.3829,-1.015,1.393,-1.015,1.393,-1.0252
248,1.393,-1.0252,1.393,-1.015,1.4031,-1.015,1.4031,-1.0252
249,1.4031,-1.0252,1.4031,-1.015,1.4132,-1.015,1.4132,-1.0252
250,1.4132,-1.0252,1.4132,-1.015,1.4233,-1.015,1.4233,-1.0252
251,1.4233,-1.0252,1.4233,-1.015,1.4333,-1.015,1.4333,-1.0252
252,1.4333,-1.0252,1.4333,-1.015,1.4434,-1.015,1.4434,-1.0252
253,1.4434,-1.0252,1.4434,-1.015,1.4535,-1.015,1.4535,-1.0252
254,1.4535,-1.0252,1.4535,-1.015,1.4636,-1.015,1.4636,-1.0252
255,1.4636,-1.0252,1.4636,-1.015,1.4736,-1.015,1.4736,-1.0252
256,1.4736,-1.0252,1.4736,-1.015,1.4837,-1.015,1.4837,-1.0252
257,1.4837,-1.0252,1.4837,-1.015,1.4938,-1.015,1.4938,-1.0252
